TRIMESTRE,CHRONIQUE,DR,mean_1,median_1,p5_1,p10_1,p25_1,p75_1,p90_1,p95_1,mean_2,median_2,p5_2,p10_2,p25_2,p75_2,p90_2,p95_2,mean_3,median_3,p5_3,p10_3,p25_3,p75_3,p90_3,p95_3,mean_4,median_4,p5_4,p10_4,p25_4,p75_4,p90_4,p95_4,mean_5,median_5,p5_5,p10_5,p25_5,p75_5,p90_5,p95_5,mean_6,median_6,p5_6,p10_6,p25_6,p75_6,p90_6,p95_6,mean_7,median_7,p5_7,p10_7,p25_7,p75_7,p90_7,p95_7,mean_8,median_8,p5_8,p10_8,p25_8,p75_8,p90_8,p95_8,CD_TY_CLI_RCI_1,CD_TY_CLI_RCI_2,CD_ETA_CIV_1,CD_ETA_CIV_2,CD_MOD_HABI_1,CD_MOD_HABI_2,CD_PROF_1,CD_PROF_2,CD_PROF_3,CD_QUAL_VEH_1,CD_QUAL_VEH_2,dtf_per_trt,PIB,Inflation,Tx_cho
17897.0,CHR2,0.003,0.994843089012882,0.99519155,0.99208063,0.99252968,0.9936912600000001,0.99625907,0.9968618300000001,0.99702259,494.728813559322,428.0,164.0,215.0,296.0,662.0,869.0,976.0,19.07,21.0,2.0,2.0,9.0,26.0,30.0,30.0,5.796610169491525,5.0,-3.0,-1.0,1.0,7.0,9.0,12.0,786008.4957198444,739254.0,51392.0,111171.0,275370.0,1157353.0,1535001.0,1786452.0,1.4191738952891239e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27356591694915255,0.3125,0.0166667,0.0204082,0.027027,0.4375,0.55,0.65,0.27381119874048504,0.23076923076923078,-0.30999442638179286,0.0,0.09277170421922046,0.4897959183673469,0.8014472290857748,0.8481012658227848,0.005331256738948124,0.9946687432610518,0.3692584161974362,0.6307415838025637,0.27245717024080507,0.7275428297591949,0.07085180304300946,0.3512160057505691,0.5779321912064215,0.3921289085899125,0.6078710914100874,Q42008,497736.0,1.760576189,7.8
17897.0,CHR8,0.1924,0.9456939123775638,0.95396814,0.87088877,0.89024642,0.92474267,0.97602398,0.9902291,0.9947926500000001,146.80835062240664,92.0,16.0,21.0,46.0,164.0,301.0,478.0,33.13600395647873,26.0,9.0,9.0,16.0,46.0,67.0,77.0,57.73660096818811,46.0,6.0,7.0,15.0,80.0,112.0,138.0,877437.9741820248,848259.0,65458.0,178644.0,475650.0,1199318.0,1559919.0,1843421.0,0.007499717595974317,0.0062893,0.0,0.001694,0.0034602,0.0103093,0.014978,0.018604700000000002,0.11292695958679097,0.0612245,0.0,0.0,0.0166667,0.15,0.2972973,0.4285714,0.0904734673944267,0.0967741935483871,-0.13271097148380862,0.0,0.0,0.16387973484848484,0.3000109613065877,0.4649611979877549,0.04826972833117723,0.9517302716688227,0.6401196636481242,0.35988033635187583,0.6792529107373868,0.32074708926261325,0.1817593790426908,0.5418014230271669,0.2764391979301423,0.5485122897800776,0.4514877102199224,Q42008,497736.0,1.760576189,7.8
17897.0,Totale,0.024,0.9751140213317168,0.99381902,0.9091731000000001,0.94077331,0.9783581100000001,0.99813277,0.99922394,0.99953871,563.3163911632937,291.0,30.0,51.0,107.0,742.0,1402.0,1965.0,653.3043286749689,276.0,16.0,26.0,56.0,991.0,1791.0,2351.0,219.33023889442862,49.0,5.0,6.0,9.0,153.0,611.0,1165.0,728511.8228752548,644592.0,47750.0,101062.0,250182.0,1080543.0,1473114.0,1738923.0,0.001092885353419198,0.0,0.0,0.0,0.0,0.0,0.0035842,0.0079365,0.15532872093309483,0.0833333,0.0,0.0166667,0.0327869,0.21666670000000002,0.4166667,0.5416667000000001,0.27977296405855107,0.19230769230769232,-0.04937796149804714,0.0,0.03007454894247347,0.5429346862655187,0.7995456367766939,0.8461538461538461,0.04511422170308101,0.9548857782969189,0.41879296478563083,0.5812070352143691,0.34329222756256816,0.6567077724374317,0.10288809528368727,0.37072267008789234,0.5263892346284205,0.45114461061218236,0.5488553893878176,Q42008,497736.0,1.760576189,7.8
17987.0,CHR2,0.0025,0.9947821030484525,0.9951915,0.9920968800000001,0.99257854,0.99369442,0.99627469,0.9968618300000001,0.99702544,515.2115384615385,466.5,182.0,202.0,254.0,660.0,918.0,1066.0,17.229508196721312,15.0,6.0,6.0,11.0,26.0,29.0,29.0,5.115384615384615,5.0,-1.0,0.0,1.0,6.0,9.0,13.0,787927.599945628,740867.0,54512.0,123439.0,300091.0,1145193.0,1520862.0,1775100.0,1.3637173845677098e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25979309615384616,0.29889455,0.0166667,0.0204082,0.0274024,0.4,0.5333333,0.6166667,0.27636663272574385,0.23186250159055144,-0.26034681611435995,0.0,0.1,0.480969723183391,0.7921718046414964,0.8425692695214105,0.00500646182863929,0.9949935381713607,0.3591030283272596,0.6408969716727404,0.2618728824412905,0.7381271175587095,0.06822759608331684,0.3428029200479689,0.5889694838687143,0.3766605735309528,0.6233394264690473,Q12009,489227.0,0.624887123,8.6
17987.0,CHR8,0.1436,0.9477866579683818,0.9564171300000001,0.87088877,0.89332847,0.92744727,0.97898765,0.9917351400000001,0.99565583,136.14420117822914,78.0,11.0,15.0,39.0,152.0,294.0,441.0,30.794159885112492,26.0,6.0,6.0,11.0,43.0,70.0,78.0,56.68196605996659,49.0,6.0,7.0,15.0,83.0,111.0,132.0,873307.3628457843,841221.5,73833.0,179502.0,479087.0,1181337.0,1546179.0,1843618.0,0.007485984243680043,0.0062035,0.0,0.0016826,0.003413,0.0102389,0.0152672,0.0188679,0.1126932751516749,0.0625,0.0,0.0,0.0166667,0.15,0.2972973,0.4098361,0.0980333375966385,0.1,-0.11586504065040651,0.0,0.0,0.16388,0.3076923076923077,0.4868595197579883,0.051469982706085805,0.9485300172939142,0.6268632133739603,0.3731367866260397,0.6535452524087952,0.3464547475912048,0.1773037964259244,0.5328996129457301,0.2897965906283455,0.5439347772379148,0.45606522276208517,Q12009,489227.0,0.624887123,8.6
17987.0,Totale,0.019799999999999998,0.9754878046612102,0.99391019,0.91085992,0.94196627,0.9786605349999999,0.9981548,0.99921294,0.99953092,563.428530132423,279.0,21.0,43.0,106.0,737.0,1436.0,2014.0,642.1164400942541,264.0,11.0,26.0,60.0,949.0,1801.0,2359.0,233.9331140049005,55.0,5.0,6.0,10.0,170.0,667.0,1235.0,728554.4702354701,648857.0,50248.0,107515.0,257285.0,1066920.0,1456722.0,1725643.0,0.0011502370246213557,0.0,0.0,0.0,0.0,0.0,0.0038023,0.0083011,0.15216015084105353,0.0833333,0.0,0.0,0.0273973,0.2162162,0.4081633,0.5416667000000001,0.2828468066408018,0.19948162822158416,0.0,0.0,0.04691658291457287,0.5390040299366724,0.7916666666666666,0.8412698412698413,0.04352375169321314,0.9564762483067868,0.4100074734924564,0.5899925265075435,0.3347867719183521,0.665213228081648,0.09934840487645383,0.3639660890279789,0.5366855060955673,0.43662711943575133,0.5633728805642487,Q12009,489227.0,0.624887123,8.6
18078.0,CHR2,0.0026,0.9947985609711593,0.99517627,0.99210853,0.99259131,0.9936912600000001,0.99627548,0.99686408,0.99703803,575.4375,493.5,243.0,273.0,362.5,716.0,1066.0,1121.0,15.738636363636363,15.0,5.0,5.0,5.0,25.5,28.0,28.0,6.708333333333333,5.5,0.0,0.0,2.0,7.0,11.0,16.0,786536.9565872144,734229.0,63414.0,130995.0,323419.0,1133081.0,1512585.0,1771888.0,8.527744061036933e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2901499354166667,0.31458335000000004,0.0166667,0.0208333,0.03429705,0.41103605,0.5833333,0.6333333,0.27987169861238315,0.23643690065647577,-0.18922542273584142,0.0,0.10179606451156956,0.47062080653056704,0.781021897810219,0.8376842948865255,0.004886451522182381,0.9951135484778176,0.36230049919145046,0.6376995008085495,0.26032951322974524,0.7396704867702547,0.06692212144648339,0.3463521526166538,0.5867257259368628,0.3722960463099674,0.6277039536900326,Q22009,488744.0,-0.206626291,9.133333333
18078.0,CHR8,0.1418,0.9496470053684684,0.95820136,0.87372901,0.89653278,0.9292118500000001,0.98014267,0.99227452,0.99578339,133.7762886597938,85.0,13.0,17.0,41.0,155.0,278.5,411.0,30.89438433797012,25.0,5.0,5.0,8.0,46.0,64.0,81.0,59.41254295532646,52.0,6.0,7.0,19.0,86.0,114.0,135.0,867395.4501949952,834269.5,90080.0,197037.0,490250.5,1157035.0,1527097.0,1809352.0,0.007620886141591477,0.0062598,0.0,0.0018132,0.0034632,0.0104239,0.015503900000000001,0.0191507,0.1211065697079042,0.0666667,0.0,0.0,0.0204082,0.1666667,0.3055556,0.4324324,0.10390613493804968,0.1,-0.018333722627737227,0.0,0.0,0.16782277914522264,0.3066257387455803,0.48586572438162545,0.05384242815628027,0.9461575718437197,0.6281078463028738,0.37189215369712625,0.6405392315143688,0.35946076848563124,0.17525024216984178,0.5343073942525024,0.2904423635776558,0.5347917339360672,0.46520826606393284,Q22009,488744.0,-0.206626291,9.133333333
18078.0,Totale,0.019,0.9755377520618139,0.9938280700000001,0.91203289,0.94206098,0.9783773,0.9981475000000001,0.9992104,0.99951637,575.6689590241107,288.0,20.0,41.0,106.0,746.0,1481.0,2085.0,685.0505808237136,324.0,12.0,25.0,64.0,1009.0,1872.0,2429.0,244.45934476783057,62.0,5.0,6.0,10.0,180.0,698.0,1281.0,725474.3099387578,646542.0,54479.0,115953.0,268906.0,1051729.0,1446145.0,1722820.0,0.0011703602934088303,0.0,0.0,0.0,0.0,0.0,0.0039194,0.0085227,0.15324046849917658,0.0833333,0.0,0.0,0.027777800000000002,0.2162162,0.4081633,0.55,0.28610587137376686,0.20122227252150293,0.0,0.0,0.06941307993292342,0.5356552772453903,0.7841726618705036,0.8358862144420132,0.04273792306144133,0.9572620769385587,0.41263321959644467,0.5873667804035554,0.33516342071883587,0.6648365792811641,0.09861409494923964,0.36669147347777453,0.5346944315729858,0.4312991748224909,0.5687008251775091,Q22009,488744.0,-0.206626291,9.133333333
18170.0,CHR2,0.0026,0.9947955915370479,0.99514714,0.99210343,0.99258725,0.9936794600000001,0.99627254,0.9968618300000001,0.99702543,552.8181818181819,551.5,133.0,365.0,408.5,631.5,803.0,1040.0,14.855555555555556,15.0,5.0,5.0,5.0,23.0,30.0,30.0,7.840909090909091,6.0,0.0,1.0,4.0,7.0,12.0,16.0,777256.0662825992,718643.0,62521.0,125361.0,320009.0,1118992.0,1510580.0,1776162.0,6.07032677463861e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35454728409090913,0.34013605,0.0166667,0.027777800000000002,0.2833333,0.5,0.5833333,0.6333333,0.2860549168418959,0.24426450742240216,-0.042799224806201554,0.0,0.10865628395508874,0.46762304826820955,0.7743173098623336,0.8338962405182437,0.004924674598924256,0.9950753254010758,0.3574405662793676,0.6425594337206324,0.253708058770112,0.7462919412298881,0.06602323794444315,0.34202621836216734,0.5919505436933895,0.3669872168021049,0.6330127831978951,Q32009,489557.0,-0.42324655,9.166666667
18170.0,CHR8,0.152,0.9508814480953475,0.95863796,0.87780861,0.9014558,0.93066962,0.9800261,0.99218584,0.99565326,129.1481451547725,82.0,13.0,15.0,41.0,148.0,274.0,380.0,30.21046831955923,23.0,5.0,5.0,9.0,41.0,65.0,82.0,58.848056251515395,52.0,6.0,7.0,19.0,85.0,112.0,135.0,872351.392807532,838602.0,99669.0,210199.0,506695.0,1147873.0,1521460.0,1808594.0,0.0078672186640927,0.0065147,0.0009519,0.0019814999999999998,0.0036232,0.0106952,0.01585885,0.0196078,0.12377930860745273,0.0694444,0.0,0.0,0.0208333,0.1666667,0.3166667,0.4324324,0.10514065119171691,0.1,0.0,0.0,0.0,0.17743744691970995,0.30129236082194605,0.448,0.05427606325809919,0.9457239367419008,0.6236757254721327,0.3763242745278674,0.6392599416551512,0.3607400583448488,0.17480423767848918,0.5357746046368801,0.2894211576846307,0.5329341317365269,0.46706586826347307,Q32009,489557.0,-0.42324655,9.166666667
18170.0,Totale,0.018799999999999997,0.9758599997997257,0.9938280700000001,0.91326913,0.94236377,0.97844156,0.99818153,0.99921746,0.99951637,588.1179828734538,303.0,20.0,41.0,103.0,756.0,1533.0,2146.0,748.5762851165571,411.0,13.0,23.0,77.0,1108.5,1969.0,2527.0,252.68093432143766,65.0,5.0,6.0,10.0,191.0,727.0,1328.0,717782.9554592606,634839.0,54479.0,107924.0,269788.0,1038181.0,1444098.0,1733956.0,0.0011899141071081171,0.0,0.0,0.0,0.0,0.0,0.0040889,0.0086817,0.1549547840710666,0.0833333,0.0,0.0136986,0.027777800000000002,0.21666670000000002,0.4166667,0.55,0.293248425968554,0.2079002079002079,0.0,0.0,0.09477240458396474,0.5417888563049853,0.7820084290074117,0.8333333333333334,0.04159806015818948,0.9584019398418105,0.4099070492465793,0.5900929507534207,0.3309670342358986,0.6690329657641014,0.09695975982910918,0.36432307603487096,0.5387171641360199,0.4254211650597541,0.574578834940246,Q32009,489557.0,-0.42324655,9.166666667
18262.0,CHR2,0.0025,0.9947892059917123,0.9951262200000001,0.99210126,0.99259131,0.9936653200000001,0.996266,0.9968603500000001,0.99701303,556.0555555555555,587.5,10.0,44.0,464.5,690.5,864.0,895.0,11.222222222222221,10.0,3.0,3.0,3.0,16.0,24.0,24.0,5.527777777777778,5.5,1.0,1.0,2.0,7.0,10.0,13.0,782020.6153346641,718194.0,69270.0,130055.0,339519.0,1114743.0,1523619.0,1796635.0,4.217414375301496e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4073356527777778,0.39791665,0.0166667,0.0204082,0.2875,0.53055555,0.8378378,1.0,0.2918203936344393,0.24749184856271597,0.0,0.0,0.12,0.4595561836156732,0.7619047619047619,0.8285714285714286,0.00444459447294986,0.9955554055270501,0.3555112971464578,0.6444887028535422,0.24647808083535871,0.7535219191646412,0.06530740840759744,0.33859933387343594,0.5960932577189666,0.35228193356737786,0.6477180664326222,Q42009,492638.0,0.36461126,9.533333333
18262.0,CHR8,0.1525,0.9501775409584214,0.95792452,0.87928535,0.90150147,0.93077916,0.97918635,0.99161589,0.99524846,130.7241494329553,87.0,16.0,21.0,36.0,154.0,281.0,386.0,30.400918635170605,24.0,3.0,3.0,10.0,44.0,66.0,80.0,57.697965310206804,51.0,6.0,7.0,16.0,84.0,112.0,134.0,864337.160718525,826318.0,96745.0,209134.0,510232.0,1135760.0,1525258.0,1820393.0,0.007840162428752354,0.0065135,0.0,0.0019608,0.0036755,0.0106081,0.015747999999999998,0.0195313,0.12463288697465012,0.0810811,0.0,0.0,0.027777800000000002,0.1666667,0.3055556,0.4210526,0.10707052614341266,0.10001736314905414,0.0,0.0,0.0,0.17835984876921185,0.3,0.44483465027802166,0.05001181381428684,0.9499881861857132,0.6320390643459085,0.3679609356540915,0.651098684728676,0.34890131527132395,0.17074899582578562,0.5460344963377176,0.2832165078364968,0.5292588800504057,0.4707411199495944,Q42009,492638.0,0.36461126,9.533333333
